Currency,Indicator,Time_Slot,Mean_Volatility,Median_Volatility,Std_Volatility,Min_Volatility,Max_Volatility,Sample_Count,Mean_Vol_S,Median_Vol_S,Count_S,Mean_Vol_M,Median_Vol_M,Count_M,Mean_Vol_L,Median_Vol_L,Count_L,Lower_Bound_S_M,Upper_Bound_M_L
GLB,労働の日,00_03_JST,19.9375,16.25999999999999,16.954258806172074,4.630000000000109,42.59999999999991,4,,,0,,,0,,,0,,
GLB,労働の日,03_06_JST,11.230000000000018,10.349999999999909,8.490190417966595,2.7200000000002547,21.5,4,,,0,,,0,,,0,,
GLB,労働の日,07_09_JST,12.759999999999877,11.864999999999782,10.190652579692877,3.949999999999818,23.360000000000127,4,,,0,,,0,,,0,,
GLB,労働の日,09_12_JST,108.90833333333337,6.395000000000209,354.84050421750516,1.9600000000000364,1235.6299999999999,12,3.2524999999999977,3.2649999999999864,4,6.185000000000059,6.395000000000209,4,317.2875000000001,11.5300000000002,4,4.589300000000062,8.136399999999796
GLB,労働の日,12_15_JST,116.1416666666667,11.310000000000173,353.2467544426168,1.6499999999998636,1236.61,12,3.5124999999999886,2.7000000000000455,4,11.297500000000127,11.310000000000173,4,333.61499999999995,40.8599999999999,4,9.14829999999991,13.192200000000259
GLB,労働の日,15_21_JST,111.87666666666671,11.435000000000173,339.6422454003713,4.190000000000055,1189.9099999999999,12,5.102499999999964,5.059999999999945,4,11.197500000000218,11.435000000000173,4,319.3299999999999,32.190000000000055,4,7.643500000000082,15.881600000000196
GLB,労働の日,21_24_JST,103.46250000000002,5.154999999999973,338.62150120008624,2.2100000000000364,1178.69,12,3.4125000000000227,3.6549999999999727,4,5.092499999999973,5.154999999999973,4,301.88250000000005,11.215000000000146,4,4.426099999999983,5.70699999999999
MXN,財政収支,00_03_JST,9.804583333333337,7.3250000000000455,7.616853614116084,2.8399999999996908,42.59999999999991,72,4.33708333333333,4.399999999999977,24,7.3352173913043295,7.210000000000036,23,17.32520000000003,14.540000000000418,25,5.913099999999722,9.502199999999966
MXN,財政収支,03_06_JST,8.276527777777789,6.580000000000155,5.475038660799186,1.9700000000000273,32.11000000000013,72,3.8008333333333346,3.9699999999999136,24,6.5673913043478045,6.559999999999945,23,14.14560000000005,12.5,25,4.89299999999987,9.169200000000108
MXN,財政収支,07_09_JST,7.253478260869569,5.629999999999654,5.394967923932043,0.0,23.570000000000164,69,2.8256521739130536,2.7200000000002547,23,5.821818181818188,5.5949999999998,22,12.80916666666666,9.93500000000006,24,4.479600000000119,7.283999999999942
MXN,財政収支,09_12_JST,7.27688888888891,5.630000000000109,5.415847462528228,1.3099999999999454,25.34999999999991,45,3.266000000000046,3.2200000000000273,15,5.845333333333353,5.630000000000109,15,12.719333333333331,10.2800000000002,15,4.615600000000013,7.339599999999729
MXN,財政収支,12_15_JST,14.061111111111071,11.61999999999989,11.551859004707689,3.019999999999982,64.29999999999973,45,4.457999999999993,4.220000000000027,15,11.854666666666526,11.61999999999989,15,25.870666666666693,21.620000000000346,15,6.624799999999887,15.832399999999726
MXN,財政収支,15_21_JST,16.327111111111122,13.460000000000036,10.574216631681864,4.039999999999964,45.94999999999982,45,6.110000000000006,5.610000000000127,15,14.32200000000004,13.460000000000036,15,28.54933333333332,28.240000000000236,15,11.882400000000107,17.35879999999992
MXN,財政収支,21_24_JST,8.61200000000003,7.380000000000109,5.534600092311873,1.4700000000002547,24.5,45,3.4813333333333505,3.259999999999991,15,7.363333333333336,7.380000000000109,15,14.991333333333403,13.6400000000001,15,4.9027999999998615,8.895599999999886
AUD,AIG製造業指数,00_03_JST,8.360833333333355,6.995000000000118,5.104730897533382,1.8900000000001,22.309999999999945,24,3.821250000000049,4.009999999999991,8,6.922499999999985,6.995000000000118,8,14.338750000000033,12.445000000000164,8,4.724400000000023,9.909000000000042
AUD,AIG製造業指数,03_06_JST,8.197499999999991,7.309999999999945,5.164018699659691,1.9700000000000273,24.1400000000001,24,3.921249999999958,4.024999999999977,8,7.306249999999977,7.309999999999945,8,13.365000000000038,10.909999999999854,8,5.565699999999847,9.110399999999983
AUD,AIG製造業指数,07_09_JST,5.7886956521739865,5.070000000000164,3.030106965330461,2.269999999999982,14.820000000000164,23,3.041249999999991,3.0049999999999955,8,5.228571428571546,5.070000000000164,7,9.026250000000118,8.080000000000155,8,3.95779999999987,7.001600000000108
AUD,AIG製造業指数,09_12_JST,7.121190476190512,5.960000000000036,5.069443709502034,1.240000000000009,24.139999999999873,42,2.9164285714285825,2.6200000000000045,14,6.1521428571428975,5.960000000000036,14,12.295000000000057,9.790000000000191,14,4.698900000000167,7.774799999999978
AUD,AIG製造業指数,12_15_JST,10.04714285714283,8.63000000000011,6.579358811414516,2.150000000000091,29.460000000000036,42,3.7492857142856986,3.9149999999999636,14,8.679285714285681,8.63000000000011,14,17.71285714285711,17.589999999999918,14,5.581000000000062,12.037799999999779
AUD,AIG製造業指数,15_21_JST,14.310238095238132,12.200000000000045,9.475875270234896,2.9500000000000455,37.94999999999982,42,5.3671428571428965,5.655000000000086,14,12.08714285714294,12.200000000000045,14,25.47642857142856,23.059999999999945,14,7.132099999999894,16.683600000000144
AUD,AIG製造業指数,21_24_JST,8.185238095238143,6.275000000000205,5.650490260661537,1.8599999999999,22.240000000000236,42,3.3399999999999994,3.2350000000001273,14,6.717142857142936,6.275000000000205,14,14.498571428571495,12.6400000000001,14,5.337700000000041,8.619000000000119
NZD,労働力率,00_03_JST,7.741304347826046,7.889999999999873,3.5249336606882498,1.959999999999809,14.039999999999964,23,3.732499999999959,3.7350000000000136,8,8.157142857142778,7.889999999999873,7,11.38624999999999,11.154999999999973,8,5.808799999999847,9.621199999999899
NZD,労働力率,03_06_JST,8.306086956521748,8.5,5.091356078626543,2.480000000000018,24.049999999999727,23,3.883749999999992,4.099999999999909,8,7.768571428571412,8.5,7,13.198750000000047,10.090000000000032,8,4.964200000000033,9.455600000000159
NZD,労働力率,07_09_JST,7.466521739130386,6.579999999999927,4.952358123979181,2.199999999999818,20.320000000000164,23,2.94999999999996,3.009999999999991,8,6.134285714285625,6.579999999999927,7,13.148749999999978,12.049999999999955,8,3.794399999999851,8.818399999999858
NZD,労働力率,09_12_JST,6.171250000000015,5.380000000000109,3.7891955237743526,2.119999999999891,15.830000000000382,24,2.8162499999999397,2.8450000000000273,8,5.377500000000055,5.380000000000109,8,10.32000000000005,8.980000000000018,8,4.199500000000035,6.1593999999999784
NZD,労働力率,12_15_JST,11.349583333333348,10.645000000000095,7.83946176012134,1.490000000000009,33.700000000000045,24,3.797500000000042,3.830000000000041,8,10.341250000000088,10.645000000000095,8,19.90999999999991,17.529999999999973,8,6.865500000000019,12.799599999999934
NZD,労働力率,15_21_JST,13.168333333333399,8.919999999999959,9.602488204113811,3.6000000000001364,38.5300000000002,24,5.727500000000049,5.595000000000027,8,9.498750000000086,8.919999999999959,8,24.27875000000006,24.970000000000027,8,8.023599999999979,12.353200000000216
NZD,労働力率,21_24_JST,6.770833333333343,5.0900000000001455,4.548398587431102,2.2100000000000364,17.920000000000073,24,3.156249999999943,3.30499999999995,8,5.148750000000035,5.0900000000001455,8,12.00750000000005,11.944999999999936,8,4.118800000000026,6.881999999999962
NZD,失業率,00_03_JST,7.741304347826046,7.889999999999873,3.5249336606882498,1.959999999999809,14.039999999999964,23,3.732499999999959,3.7350000000000136,8,8.157142857142778,7.889999999999873,7,11.38624999999999,11.154999999999973,8,5.808799999999847,9.621199999999899
NZD,失業率,03_06_JST,8.306086956521748,8.5,5.091356078626543,2.480000000000018,24.049999999999727,23,3.883749999999992,4.099999999999909,8,7.768571428571412,8.5,7,13.198750000000047,10.090000000000032,8,4.964200000000033,9.455600000000159
NZD,失業率,07_09_JST,7.466521739130386,6.579999999999927,4.952358123979181,2.199999999999818,20.320000000000164,23,2.94999999999996,3.009999999999991,8,6.134285714285625,6.579999999999927,7,13.148749999999978,12.049999999999955,8,3.794399999999851,8.818399999999858
NZD,失業率,09_12_JST,6.171250000000015,5.380000000000109,3.7891955237743526,2.119999999999891,15.830000000000382,24,2.8162499999999397,2.8450000000000273,8,5.377500000000055,5.380000000000109,8,10.32000000000005,8.980000000000018,8,4.199500000000035,6.1593999999999784
NZD,失業率,12_15_JST,11.349583333333348,10.645000000000095,7.83946176012134,1.490000000000009,33.700000000000045,24,3.797500000000042,3.830000000000041,8,10.341250000000088,10.645000000000095,8,19.90999999999991,17.529999999999973,8,6.865500000000019,12.799599999999934
NZD,失業率,15_21_JST,13.168333333333399,8.919999999999959,9.602488204113811,3.6000000000001364,38.5300000000002,24,5.727500000000049,5.595000000000027,8,9.498750000000086,8.919999999999959,8,24.27875000000006,24.970000000000027,8,8.023599999999979,12.353200000000216
NZD,失業率,21_24_JST,6.770833333333343,5.0900000000001455,4.548398587431102,2.2100000000000364,17.920000000000073,24,3.156249999999943,3.30499999999995,8,5.148750000000035,5.0900000000001455,8,12.00750000000005,11.944999999999936,8,4.118800000000026,6.881999999999962
NZD,雇用コスト指数前年比,00_03_JST,7.741304347826046,7.889999999999873,3.5249336606882498,1.959999999999809,14.039999999999964,23,3.732499999999959,3.7350000000000136,8,8.157142857142778,7.889999999999873,7,11.38624999999999,11.154999999999973,8,5.808799999999847,9.621199999999899
NZD,雇用コスト指数前年比,03_06_JST,8.306086956521748,8.5,5.091356078626543,2.480000000000018,24.049999999999727,23,3.883749999999992,4.099999999999909,8,7.768571428571412,8.5,7,13.198750000000047,10.090000000000032,8,4.964200000000033,9.455600000000159
NZD,雇用コスト指数前年比,07_09_JST,7.466521739130386,6.579999999999927,4.952358123979181,2.199999999999818,20.320000000000164,23,2.94999999999996,3.009999999999991,8,6.134285714285625,6.579999999999927,7,13.148749999999978,12.049999999999955,8,3.794399999999851,8.818399999999858
NZD,雇用コスト指数前年比,09_12_JST,6.171250000000015,5.380000000000109,3.7891955237743526,2.119999999999891,15.830000000000382,24,2.8162499999999397,2.8450000000000273,8,5.377500000000055,5.380000000000109,8,10.32000000000005,8.980000000000018,8,4.199500000000035,6.1593999999999784
NZD,雇用コスト指数前年比,12_15_JST,11.349583333333348,10.645000000000095,7.83946176012134,1.490000000000009,33.700000000000045,24,3.797500000000042,3.830000000000041,8,10.341250000000088,10.645000000000095,8,19.90999999999991,17.529999999999973,8,6.865500000000019,12.799599999999934
