Currency,EventName,TimeWindow_Slot,Volatility_Mean,Volatility_Median,Volatility_Std,Volatility_Min,Volatility_Max,Sample_Count
AUD,AIGオーストラリア建設指数,00-03_JST,6.791818181818206,5.9099999999998545,3.5134403657189623,1.959999999999809,15.860000000000127,22
AUD,AIGオーストラリア建設指数,03-06_JST,6.176363636363683,5.330000000000155,3.2108025186630518,1.740000000000009,13.769999999999982,22
AUD,AIGオーストラリア建設指数,07-09_JST,7.683809523809508,4.960000000000036,5.0504687665507815,2.380000000000109,20.320000000000164,21
AUD,AIGオーストラリア建設指数,09-12_JST,6.341363636363615,5.829999999999927,3.121578195865152,2.3199999999999363,14.66000000000031,22
AUD,AIGオーストラリア建設指数,12-15_JST,12.809545454545493,11.830000000000155,6.6061857572838445,3.1800000000000637,33.700000000000045,22
AUD,AIGオーストラリア建設指数,15-21_JST,14.359090909090924,12.315000000000168,8.133189445892123,3.4700000000000273,34.80000000000018,22
AUD,AIGオーストラリア建設指数,21-24_JST,5.95500000000001,3.380000000000109,5.589087795065728,0.8399999999999181,22.240000000000236,22
AUD,AIGオーストラリア産業指数,00-03_JST,6.791818181818206,5.9099999999998545,3.5134403657189623,1.959999999999809,15.860000000000127,22
AUD,AIGオーストラリア産業指数,03-06_JST,6.176363636363683,5.330000000000155,3.2108025186630518,1.740000000000009,13.769999999999982,22
AUD,AIGオーストラリア産業指数,07-09_JST,7.683809523809508,4.960000000000036,5.0504687665507815,2.380000000000109,20.320000000000164,21
AUD,AIGオーストラリア産業指数,09-12_JST,6.341363636363615,5.829999999999927,3.121578195865152,2.3199999999999363,14.66000000000031,22
AUD,AIGオーストラリア産業指数,12-15_JST,12.809545454545493,11.830000000000155,6.6061857572838445,3.1800000000000637,33.700000000000045,22
AUD,AIGオーストラリア産業指数,15-21_JST,14.359090909090924,12.315000000000168,8.133189445892123,3.4700000000000273,34.80000000000018,22
AUD,AIGオーストラリア産業指数,21-24_JST,5.95500000000001,3.380000000000109,5.589087795065728,0.8399999999999181,22.240000000000236,22
AUD,AIGオーストラリア製造業指数,00-03_JST,6.791818181818206,5.9099999999998545,3.5134403657189623,1.959999999999809,15.860000000000127,22
AUD,AIGオーストラリア製造業指数,03-06_JST,6.176363636363683,5.330000000000155,3.2108025186630518,1.740000000000009,13.769999999999982,22
AUD,AIGオーストラリア製造業指数,07-09_JST,7.683809523809508,4.960000000000036,5.0504687665507815,2.380000000000109,20.320000000000164,21
AUD,AIGオーストラリア製造業指数,09-12_JST,6.341363636363615,5.829999999999927,3.121578195865152,2.3199999999999363,14.66000000000031,22
AUD,AIGオーストラリア製造業指数,12-15_JST,12.809545454545493,11.830000000000155,6.6061857572838445,3.1800000000000637,33.700000000000045,22
AUD,AIGオーストラリア製造業指数,15-21_JST,14.359090909090924,12.315000000000168,8.133189445892123,3.4700000000000273,34.80000000000018,22
AUD,AIGオーストラリア製造業指数,21-24_JST,5.95500000000001,3.380000000000109,5.589087795065728,0.8399999999999181,22.240000000000236,22
AUD,AIGサービス業指数,00-03_JST,8.708000000000013,6.900000000000091,8.740850947940839,1.9800000000000182,54.590000000000146,35
AUD,AIGサービス業指数,03-06_JST,9.982571428571399,7.329999999999927,6.35206142679271,3.0799999999999272,27.069999999999936,35
AUD,AIGサービス業指数,07-09_JST,7.34441176470587,5.769999999999868,5.624464521947438,2.1299999999998818,28.90000000000009,34
AUD,AIGサービス業指数,09-12_JST,8.550000000000036,6.4849999999999,6.795618746393995,2.009999999999991,30.0300000000002,42
AUD,AIGサービス業指数,12-15_JST,9.616428571428562,8.415000000000077,5.985969702167009,1.6900000000000546,25.2199999999998,42
AUD,AIGサービス業指数,15-21_JST,12.759523809523817,9.780000000000086,8.608427507852705,3.189999999999827,45.659999999999854,42
AUD,AIGサービス業指数,21-24_JST,8.4233333333333,6.275000000000091,6.8937651812332295,1.5699999999999363,32.29999999999973,42
AUD,AIG建設業指数,00-03_JST,8.447027027026996,7.070000000000164,6.41451343303464,1.4500000000000455,38.66999999999962,37
AUD,AIG建設業指数,03-06_JST,9.615675675675687,8.480000000000018,6.078619881985529,3.400000000000091,35.12000000000012,37
AUD,AIG建設業指数,07-09_JST,5.5545714285714505,5.210000000000036,2.985694660383394,1.9100000000000819,14.220000000000255,35
AUD,AIG建設業指数,09-12_JST,7.07571428571426,5.930000000000064,4.459677962155151,0.0,19.88000000000011,42
AUD,AIG建設業指数,12-15_JST,9.853809523809554,7.755000000000109,7.571875094759446,1.990000000000009,37.940000000000055,42
AUD,AIG建設業指数,15-21_JST,12.88857142857142,10.485000000000014,7.601326447605459,4.360000000000127,37.48000000000002,42
AUD,AIG建設業指数,21-24_JST,7.473571428571437,6.184999999999945,4.811187582935064,2.6900000000000546,26.850000000000364,42
AUD,AIG製造業指数,00-03_JST,8.360833333333355,6.995000000000118,5.104730897533382,1.8900000000001,22.309999999999945,24
AUD,AIG製造業指数,03-06_JST,8.197499999999991,7.309999999999945,5.164018699659691,1.9700000000000273,24.1400000000001,24
AUD,AIG製造業指数,07-09_JST,5.7886956521739865,5.070000000000164,3.030106965330461,2.269999999999982,14.820000000000164,23
AUD,AIG製造業指数,09-12_JST,7.121190476190512,5.960000000000036,5.069443709502034,1.240000000000009,24.139999999999873,42
AUD,AIG製造業指数,12-15_JST,10.04714285714283,8.63000000000011,6.579358811414516,2.150000000000091,29.460000000000036,42
AUD,AIG製造業指数,15-21_JST,14.310238095238132,12.200000000000045,9.475875270234896,2.9500000000000455,37.94999999999982,42
