Currency,Indicator,Time_Slot,Mean_Volatility,Median_Volatility,Std_Volatility,Min_Volatility,Max_Volatility,Sample_Count,Mean_Vol_S,Median_Vol_S,Count_S,Mean_Vol_M,Median_Vol_M,Count_M,Mean_Vol_L,Median_Vol_L,Count_L,Lower_Bound_S_M,Upper_Bound_M_L
CHF,労働の日,00_03_JST,22.86999999999989,22.86999999999989,,22.86999999999989,22.86999999999989,1,,,0,,,0,,,0,,
CHF,労働の日,03_06_JST,14.639999999999873,14.639999999999873,,14.639999999999873,14.639999999999873,1,,,0,,,0,,,0,,
CHF,労働の日,07_09_JST,19.609999999999673,19.609999999999673,,19.609999999999673,19.609999999999673,1,,,0,,,0,,,0,,
CHF,労働の日,09_12_JST,7.319999999999709,7.319999999999709,,7.319999999999709,7.319999999999709,1,,,0,,,0,,,0,,
CHF,労働の日,12_15_JST,64.29999999999973,64.29999999999973,,64.29999999999973,64.29999999999973,1,,,0,,,0,,,0,,
CHF,労働の日,15_21_JST,30.440000000000055,30.440000000000055,,30.440000000000055,30.440000000000055,1,,,0,,,0,,,0,,
CHF,労働の日,21_24_JST,9.269999999999982,9.269999999999982,,9.269999999999982,9.269999999999982,1,,,0,,,0,,,0,,
CNY,労働の日,00_03_JST,13.172000000000025,10.600000000000364,9.313706029288248,4.130000000000109,23.15000000000009,5,,,0,,,0,,,0,,
CNY,労働の日,03_06_JST,10.811999999999898,7.9099999999998545,7.158028359820921,4.690000000000055,21.5,5,,,0,,,0,,,0,,
CNY,労働の日,07_09_JST,12.696000000000003,7.349999999999909,8.13825411252308,6.510000000000218,23.360000000000127,5,,,0,,,0,,,0,,
CNY,労働の日,09_12_JST,6.763333333333169,6.889999999999873,0.6296295206970564,6.079999999999927,7.319999999999709,3,,,0,,,0,,,0,,
CNY,労働の日,12_15_JST,33.25666666666666,20.570000000000164,27.033379983518916,14.900000000000091,64.29999999999973,3,,,0,,,0,,,0,,
CNY,労働の日,15_21_JST,27.220000000000102,30.440000000000055,13.09046981586218,12.820000000000164,38.40000000000009,3,,,0,,,0,,,0,,
CNY,労働の日,21_24_JST,6.61333333333323,6.699999999999818,2.701043008419816,3.869999999999891,9.269999999999982,3,,,0,,,0,,,0,,
EUR,労働の日,00_03_JST,22.86999999999989,22.86999999999989,0.0,22.86999999999989,22.86999999999989,4,,,0,,,0,,,0,,
EUR,労働の日,03_06_JST,14.639999999999873,14.639999999999873,0.0,14.639999999999873,14.639999999999873,4,,,0,,,0,,,0,,
EUR,労働の日,07_09_JST,19.609999999999673,19.609999999999673,0.0,19.609999999999673,19.609999999999673,4,,,0,,,0,,,0,,
EUR,労働の日,09_12_JST,7.319999999999709,7.319999999999709,0.0,7.319999999999709,7.319999999999709,4,,,0,,,0,,,0,,
EUR,労働の日,12_15_JST,64.29999999999973,64.29999999999973,0.0,64.29999999999973,64.29999999999973,4,,,0,,,0,,,0,,
EUR,労働の日,15_21_JST,30.440000000000055,30.440000000000055,0.0,30.440000000000055,30.440000000000055,4,,,0,,,0,,,0,,
EUR,労働の日,21_24_JST,9.269999999999982,9.269999999999982,0.0,9.269999999999982,9.269999999999982,4,,,0,,,0,,,0,,
BRL,労働の日,00_03_JST,22.86999999999989,22.86999999999989,,22.86999999999989,22.86999999999989,1,,,0,,,0,,,0,,
BRL,労働の日,03_06_JST,14.639999999999873,14.639999999999873,,14.639999999999873,14.639999999999873,1,,,0,,,0,,,0,,
BRL,労働の日,07_09_JST,19.609999999999673,19.609999999999673,,19.609999999999673,19.609999999999673,1,,,0,,,0,,,0,,
BRL,労働の日,09_12_JST,7.319999999999709,7.319999999999709,,7.319999999999709,7.319999999999709,1,,,0,,,0,,,0,,
BRL,労働の日,12_15_JST,64.29999999999973,64.29999999999973,,64.29999999999973,64.29999999999973,1,,,0,,,0,,,0,,
BRL,労働の日,15_21_JST,30.440000000000055,30.440000000000055,,30.440000000000055,30.440000000000055,1,,,0,,,0,,,0,,
BRL,労働の日,21_24_JST,9.269999999999982,9.269999999999982,,9.269999999999982,9.269999999999982,1,,,0,,,0,,,0,,
SGD,労働の日,00_03_JST,22.86999999999989,22.86999999999989,,22.86999999999989,22.86999999999989,1,,,0,,,0,,,0,,
SGD,労働の日,03_06_JST,14.639999999999873,14.639999999999873,,14.639999999999873,14.639999999999873,1,,,0,,,0,,,0,,
SGD,労働の日,07_09_JST,19.609999999999673,19.609999999999673,,19.609999999999673,19.609999999999673,1,,,0,,,0,,,0,,
SGD,労働の日,09_12_JST,7.319999999999709,7.319999999999709,,7.319999999999709,7.319999999999709,1,,,0,,,0,,,0,,
SGD,労働の日,12_15_JST,64.29999999999973,64.29999999999973,,64.29999999999973,64.29999999999973,1,,,0,,,0,,,0,,
SGD,労働の日,15_21_JST,30.440000000000055,30.440000000000055,,30.440000000000055,30.440000000000055,1,,,0,,,0,,,0,,
SGD,労働の日,21_24_JST,9.269999999999982,9.269999999999982,,9.269999999999982,9.269999999999982,1,,,0,,,0,,,0,,
HKD,労働の日,00_03_JST,22.86999999999989,22.86999999999989,,22.86999999999989,22.86999999999989,1,,,0,,,0,,,0,,
HKD,労働の日,03_06_JST,14.639999999999873,14.639999999999873,,14.639999999999873,14.639999999999873,1,,,0,,,0,,,0,,
HKD,労働の日,07_09_JST,19.609999999999673,19.609999999999673,,19.609999999999673,19.609999999999673,1,,,0,,,0,,,0,,
HKD,労働の日,09_12_JST,7.319999999999709,7.319999999999709,,7.319999999999709,7.319999999999709,1,,,0,,,0,,,0,,
