start_time_utc_seconds	start_time_readable	start_price	start_type	end_time_utc_seconds	end_time_readable	end_price	end_type	price_difference	abs_price_difference	bars_duration
1620003780	2021.05.03 01:03:00	2014.66	valley	1620003840	2021.05.03 01:04:00	2015.48	peak	0.82	0.82	1
1620003840	2021.05.03 01:04:00	2015.48	peak	1620004560	2021.05.03 01:16:00	2014.86	valley	-0.62	0.62	12
1620004560	2021.05.03 01:16:00	2014.86	valley	1620005580	2021.05.03 01:33:00	2016.13	peak	1.27	1.27	17
1620005580	2021.05.03 01:33:00	2016.13	peak	1620006420	2021.05.03 01:47:00	2015.37	valley	-0.76	0.76	14
1620006420	2021.05.03 01:47:00	2015.37	valley	1620007380	2021.05.03 02:03:00	2016.06	peak	0.69	0.69	16
1620007380	2021.05.03 02:03:00	2016.06	peak	1620008220	2021.05.03 02:17:00	2015.58	valley	-0.48	0.48	14
1620008220	2021.05.03 02:17:00	2015.58	valley	1620008760	2021.05.03 02:26:00	2016.56	peak	0.98	0.98	9
1620008760	2021.05.03 02:26:00	2016.56	peak	1620009540	2021.05.03 02:39:00	2015.88	valley	-0.68	0.68	13
1620009540	2021.05.03 02:39:00	2015.88	valley	1620009840	2021.05.03 02:44:00	2016.41	peak	0.53	0.53	5
1620009840	2021.05.03 02:44:00	2016.41	peak	1620010920	2021.05.03 03:02:00	2015.67	valley	-0.74	0.74	18
1620010920	2021.05.03 03:02:00	2015.67	valley	1620011220	2021.05.03 03:07:00	2016.14	peak	0.47	0.47	5
1620011220	2021.05.03 03:07:00	2016.14	peak	1620011880	2021.05.03 03:18:00	2013.64	valley	-2.50	2.50	11
1620011880	2021.05.03 03:18:00	2013.64	valley	1620013320	2021.05.03 03:42:00	2015.67	peak	2.03	2.03	24
1620013320	2021.05.03 03:42:00	2015.67	peak	1620015540	2021.05.03 04:19:00	2014.01	valley	-1.66	1.66	37
1620015540	2021.05.03 04:19:00	2014.01	valley	1620016140	2021.05.03 04:29:00	2015.09	peak	1.08	1.08	10
1620016140	2021.05.03 04:29:00	2015.09	peak	1620016380	2021.05.03 04:33:00	2014.11	valley	-0.98	0.98	4
1620016380	2021.05.03 04:33:00	2014.11	valley	1620017460	2021.05.03 04:51:00	2015.00	peak	0.89	0.89	18
1620017460	2021.05.03 04:51:00	2015.00	peak	1620017940	2021.05.03 04:59:00	2014.20	valley	-0.80	0.80	8
1620017940	2021.05.03 04:59:00	2014.20	valley	1620020460	2021.05.03 05:41:00	2018.12	peak	3.92	3.92	42
1620020460	2021.05.03 05:41:00	2018.12	peak	1620021120	2021.05.03 05:52:00	2016.92	valley	-1.20	1.20	11
1620021120	2021.05.03 05:52:00	2016.92	valley	1620021180	2021.05.03 05:53:00	2018.20	peak	1.28	1.28	1
1620021180	2021.05.03 05:53:00	2018.20	peak	1620023460	2021.05.03 06:31:00	2014.67	valley	-3.53	3.53	38
1620023460	2021.05.03 06:31:00	2014.67	valley	1620024720	2021.05.03 06:52:00	2017.42	peak	2.75	2.75	21
1620024720	2021.05.03 06:52:00	2017.42	peak	1620025560	2021.05.03 07:06:00	2016.36	valley	-1.06	1.06	14
1620025560	2021.05.03 07:06:00	2016.36	valley	1620027120	2021.05.03 07:32:00	2018.04	peak	1.68	1.68	26
