start_time_utc_seconds	start_time_readable	start_price	start_type	end_time_utc_seconds	end_time_readable	end_price	end_type	price_difference	abs_price_difference	bars_duration
1682904180	2023.05.01 01:23:00	2005.14	valley	1682905020	2023.05.01 01:37:00	2006.96	peak	1.82	1.82	14
1682905020	2023.05.01 01:37:00	2006.96	peak	1682906580	2023.05.01 02:03:00	2000.76	valley	-6.20	6.20	26
1682906580	2023.05.01 02:03:00	2000.76	valley	1682908440	2023.05.01 02:34:00	2005.73	peak	4.97	4.97	31
1682908440	2023.05.01 02:34:00	2005.73	peak	1682908920	2023.05.01 02:42:00	2003.64	valley	-2.09	2.09	8
1682908920	2023.05.01 02:42:00	2003.64	valley	1682910360	2023.05.01 03:06:00	2007.62	peak	3.98	3.98	24
1682910360	2023.05.01 03:06:00	2007.62	peak	1682911560	2023.05.01 03:26:00	2003.78	valley	-3.84	3.84	20
1682911560	2023.05.01 03:26:00	2003.78	valley	1682911800	2023.05.01 03:30:00	2006.04	peak	2.26	2.26	4
1682911800	2023.05.01 03:30:00	2006.04	peak	1682912760	2023.05.01 03:46:00	2002.47	valley	-3.57	3.57	16
1682912760	2023.05.01 03:46:00	2002.47	valley	1682914080	2023.05.01 04:08:00	2005.69	peak	3.22	3.22	22
1682914080	2023.05.01 04:08:00	2005.69	peak	1682915220	2023.05.01 04:27:00	2003.39	valley	-2.30	2.30	19
1682915220	2023.05.01 04:27:00	2003.39	valley	1682917620	2023.05.01 05:07:00	2015.71	peak	12.32	12.32	40
1682917620	2023.05.01 05:07:00	2015.71	peak	1682918160	2023.05.01 05:16:00	2012.67	valley	-3.04	3.04	9
1682918160	2023.05.01 05:16:00	2012.67	valley	1682918520	2023.05.01 05:22:00	2020.16	peak	7.49	7.49	6
1682918520	2023.05.01 05:22:00	2020.16	peak	1682919540	2023.05.01 05:39:00	2016.07	valley	-4.09	4.09	17
1682919540	2023.05.01 05:39:00	2016.07	valley	1682921040	2023.05.01 06:04:00	2022.44	peak	6.37	6.37	25
